Country,Year,Season,Bronze,Silver,Gold,Total points
AUS,1920,Summer,1,6,0,19
NOR,1920,Summer,27,52,58,473
EGY,1920,Summer,0,0,0,0
GBR,1920,Summer,17,42,52,403
SWE,1920,Summer,64,38,52,438
USA,1920,Summer,38,45,111,728
SUI,1920,Summer,21,2,6,57
BEL,1920,Summer,66,65,57,546
FRA,1920,Summer,57,71,13,335
ITA,1920,Summer,8,9,67,370
ESP,1920,Summer,0,23,0,69
BRA,1920,Summer,5,1,1,13
GRE,1920,Summer,0,5,0,15
TCH,1920,Summer,10,0,0,10
IND,1920,Summer,0,0,0,0
MON,1920,Summer,0,0,0,0
CHI,1920,Summer,0,0,0,0
CAN,1920,Summer,3,3,10,62
NED,1920,Summer,25,10,15,130
RSA,1920,Summer,6,12,3,57
POR,1920,Summer,0,0,0,0
YUG,1920,Summer,0,0,0,0
LUX,1920,Summer,0,1,0,3
NZL,1920,Summer,1,0,0,1
EST,1920,Summer,0,2,1,11
JPN,1920,Summer,0,3,0,9
ARG,1920,Summer,0,0,0,0
FIN,1924,Summer,15,13,24,174
NOR,1924,Summer,3,5,14,88
BUL,1924,Summer,0,0,0,0
CHI,1924,Summer,0,0,0,0
ARG,1924,Summer,2,3,5,36
MON,1924,Summer,1,0,0,1
GBR,1924,Summer,19,30,15,184
FRA,1924,Summer,22,51,37,360
BEL,1924,Summer,6,30,3,111
HUN,1924,Summer,8,12,2,54
POL,1924,Summer,1,4,0,13
AUT,1924,Summer,1,3,0,10
SWE,1924,Summer,43,22,7,144
NED,1924,Summer,18,1,8,61
SUI,1924,Summer,21,25,14,166
EGY,1924,Summer,0,0,0,0
MEX,1924,Summer,0,0,0,0
AUS,1924,Summer,2,5,3,32
TUR,1924,Summer,0,0,0,0
ITA,1924,Summer,21,5,25,161
USA,1924,Summer,49,36,97,642
CUB,1924,Summer,0,0,0,0
ESP,1924,Summer,0,0,0,0
LUX,1924,Summer,0,1,1,8
GRE,1924,Summer,0,0,1,5
DEN,1924,Summer,3,9,2,40
URU,1924,Summer,0,0,14,70
TCH,1924,Summer,5,4,1,22
LTU,1924,Summer,0,0,0,0
EST,1924,Summer,4,1,1,12
LAT,1924,Summer,0,0,0,0
YUG,1924,Summer,0,0,2,10
HAI,1924,Summer,5,0,0,5
ROU,1924,Summer,16,0,0,16
CAN,1924,Summer,1,19,0,58
IRL,1924,Summer,1,1,0,4
RSA,1924,Summer,1,1,1,9
POR,1924,Summer,4,0,0,4
BRA,1924,Summer,0,0,0,0
JPN,1924,Summer,1,0,0,1
IND,1924,Summer,0,0,0,0
NZL,1924,Summer,1,0,0,1
ECU,1924,Summer,0,0,0,0
PHI,1924,Summer,0,0,0,0
RUS,1924,Summer,0,0,0,0
NOR,1928,Summer,1,4,4,33
EGY,1928,Summer,1,1,2,14
USA,1928,Summer,17,24,47,324
IND,1928,Summer,0,0,14,70
SUI,1928,Summer,4,10,16,114
GER,1928,Summer,41,15,21,191
GBR,1928,Summer,24,27,7,140
CAN,1928,Summer,21,5,7,71
SWE,1928,Summer,22,8,7,81
BEL,1928,Summer,4,1,0,7
FRA,1928,Summer,14,24,12,146
NED,1928,Summer,8,29,20,195
ITA,1928,Summer,26,22,24,212
MEX,1928,Summer,0,0,0,0
FIN,1928,Summer,9,8,8,73
DEN,1928,Summer,4,5,6,49
JPN,1928,Summer,1,6,2,29
LTU,1928,Summer,0,0,0,0
ARG,1928,Summer,5,18,3,74
ROU,1928,Summer,0,0,0,0
ESP,1928,Summer,0,0,3,15
CHI,1928,Summer,0,1,0,3
LUX,1928,Summer,0,0,1,5
POR,1928,Summer,6,0,0,6
GRE,1928,Summer,0,0,0,0
URU,1928,Summer,0,0,17,85
AUT,1928,Summer,2,0,3,17
IRL,1928,Summer,0,0,1,5
POL,1928,Summer,15,3,2,34
YUG,1928,Summer,10,1,1,18
TCH,1928,Summer,2,12,2,48
TUR,1928,Summer,0,0,0,0
RSA,1928,Summer,5,0,1,10
HUN,1928,Summer,0,11,10,83
MON,1928,Summer,0,0,0,0
CUB,1928,Summer,0,0,0,0
LAT,1928,Summer,0,0,0,0
AUS,1928,Summer,1,2,1,12
ZIM,1928,Summer,0,0,0,0
MLT,1928,Summer,0,0,0,0
EST,1928,Summer,6,1,2,19
NZL,1928,Summer,0,0,1,5
PHI,1928,Summer,1,0,0,1
PAN,1928,Summer,0,0,0,0
HAI,1928,Summer,0,1,0,3
BUL,1928,Summer,0,0,0,0
NED,1932,Summer,1,10,2,41
USA,1932,Summer,61,47,81,607
BEL,1932,Summer,1,0,0,1
FRA,1932,Summer,6,8,26,160
PHI,1932,Summer,3,0,0,3
ITA,1932,Summer,18,38,21,237
ARG,1932,Summer,0,1,3,18
FIN,1932,Summer,16,8,5,65
AUS,1932,Summer,1,1,3,19
GBR,1932,Summer,14,12,9,95
SWE,1932,Summer,12,7,13,98
MEX,1932,Summer,0,2,0,6
AUT,1932,Summer,3,1,1,11
GER,1932,Summer,7,26,10,135
IND,1932,Summer,0,0,15,75
ESP,1932,Summer,1,0,0,1
BRA,1932,Summer,0,0,0,0
DEN,1932,Summer,4,7,0,25
JPN,1932,Summer,4,17,10,105
CAN,1932,Summer,24,13,2,73
HUN,1932,Summer,8,5,20,123
TCH,1932,Summer,2,3,1,16
RSA,1932,Summer,3,0,2,13
POL,1932,Summer,14,4,3,41
LAT,1932,Summer,0,1,0,3
PER,1932,Summer,0,0,0,0
NZL,1932,Summer,0,2,0,6
HAI,1932,Summer,0,0,0,0
GRE,1932,Summer,0,0,0,0
IRL,1932,Summer,0,0,2,10
ROU,1932,Summer,0,0,0,0
CUB,1932,Summer,0,0,0,0
NOR,1932,Summer,0,0,0,0
SUI,1932,Summer,0,1,0,3
POR,1932,Summer,0,0,0,0
COL,1932,Summer,0,0,0,0
ESA,1932,Summer,0,0,0,0
URU,1932,Summer,1,0,0,1
VEN,1932,Summer,0,0,0,0
LUX,1932,Summer,0,0,0,0
EST,1932,Summer,0,0,0,0
BUL,1932,Summer,0,0,0,0
CHN,1932,Summer,0,0,0,0
GUA,1932,Summer,0,0,0,0
YUG,1932,Summer,0,0,0,0
TUR,1932,Summer,0,0,0,0
MON,1932,Summer,0,0,0,0
EST,1936,Summer,3,2,2,19
NOR,1936,Summer,15,12,1,56
HUN,1936,Summer,15,1,25,143
ITA,1936,Summer,5,34,37,292
EGY,1936,Summer,2,1,2,15
JPN,1936,Summer,10,4,9,67
MON,1936,Summer,0,0,0,0
GBR,1936,Summer,8,16,12,116
ROU,1936,Summer,0,1,0,3
MEX,1936,Summer,16,0,0,16
CHI,1936,Summer,0,0,0,0
USA,1936,Summer,16,29,51,358
GER,1936,Summer,61,70,93,736
CAN,1936,Summer,9,12,1,50
TUR,1936,Summer,1,0,1,6
BEL,1936,Summer,14,0,0,14
URU,1936,Summer,0,0,0,0
PHI,1936,Summer,1,0,0,1
SWE,1936,Summer,17,11,7,85
SUI,1936,Summer,24,23,5,118
AFG,1936,Summer,0,0,0,0
ARG,1936,Summer,4,2,5,35
FIN,1936,Summer,13,6,8,71
BRA,1936,Summer,0,0,0,0
POL,1936,Summer,6,6,0,24
PER,1936,Summer,0,0,0,0
FRA,1936,Summer,18,13,13,122
IND,1936,Summer,0,0,19,95
AUT,1936,Summer,7,42,6,163
DEN,1936,Summer,3,3,0,12
LAT,1936,Summer,1,1,0,4
POR,1936,Summer,3,0,0,3
BUL,1936,Summer,0,0,0,0
GRE,1936,Summer,0,0,0,0
NZL,1936,Summer,0,0,1,5
TCH,1936,Summer,1,12,5,62
AUS,1936,Summer,1,0,0,1
NED,1936,Summer,21,7,9,87
YUG,1936,Summer,0,1,0,3
CHN,1936,Summer,0,0,0,0
BER,1936,Summer,0,0,0,0
MLT,1936,Summer,0,0,0,0
RSA,1936,Summer,0,1,0,3
LUX,1936,Summer,0,0,0,0
BOL,1936,Summer,0,0,0,0
CRC,1936,Summer,0,0,0,0
COL,1936,Summer,0,0,0,0
LIE,1936,Summer,0,0,0,0
ISL,1936,Summer,0,0,0,0
FIN,1948,Summer,8,8,17,117
NOR,1948,Summer,11,4,3,38
IRI,1948,Summer,1,0,0,1
EGY,1948,Summer,1,2,2,17
PAK,1948,Summer,0,0,0,0
MON,1948,Summer,0,0,0,0
URU,1948,Summer,2,1,0,5
SWE,1948,Summer,30,15,30,225
TUR,1948,Summer,2,4,6,44
ITA,1948,Summer,14,32,21,215
CHI,1948,Summer,0,0,0,0
DEN,1948,Summer,27,17,7,113
MEX,1948,Summer,4,1,4,27
FRA,1948,Summer,24,22,26,220
POL,1948,Summer,1,0,1,6
ESP,1948,Summer,0,3,0,9
BEL,1948,Summer,8,2,5,39
GBR,1948,Summer,12,42,7,173
ARG,1948,Summer,1,7,3,37
PHI,1948,Summer,0,0,0,0
SUI,1948,Summer,6,25,5,106
AFG,1948,Summer,0,0,0,0
AUS,1948,Summer,5,9,2,42
CUB,1948,Summer,0,2,0,6
IRL,1948,Summer,1,0,0,1
IND,1948,Summer,0,0,20,100
USA,1948,Summer,35,30,87,560
IRQ,1948,Summer,0,0,0,0
PER,1948,Summer,0,0,1,5
COL,1948,Summer,0,0,0,0
BRA,1948,Summer,10,0,0,10
YUG,1948,Summer,0,16,0,48
AUT,1948,Summer,4,2,2,20
KOR,1948,Summer,2,0,0,2
HUN,1948,Summer,22,25,15,172
NED,1948,Summer,32,2,8,78
LUX,1948,Summer,0,0,0,0
GRE,1948,Summer,0,0,0,0
ISL,1948,Summer,0,0,0,0
RSA,1948,Summer,2,2,2,18
CAN,1948,Summer,5,2,0,11
TCH,1948,Summer,3,3,14,82
PUR,1948,Summer,1,0,0,1
BER,1948,Summer,0,0,0,0
POR,1948,Summer,3,2,0,9
LIB,1948,Summer,0,0,0,0
JAM,1948,Summer,0,2,1,11
LIE,1948,Summer,0,0,0,0
NZL,1948,Summer,0,0,0,0
CHN,1948,Summer,0,0,0,0
GUY,1948,Summer,0,0,0,0
SRI,1948,Summer,0,1,0,3
TTO,1948,Summer,0,1,0,3
MLT,1948,Summer,0,0,0,0
PAN,1948,Summer,2,0,0,2
VEN,1948,Summer,0,0,0,0
MYA,1948,Summer,0,0,0,0
SYR,1948,Summer,0,0,0,0
SGP,1948,Summer,0,0,0,0
FIN,1952,Summer,29,3,8,78
NOR,1952,Summer,0,8,5,49
EGY,1952,Summer,1,0,0,1
FRA,1952,Summer,17,9,14,114
PAK,1952,Summer,0,0,0,0
MON,1952,Summer,0,0,0,0
ESP,1952,Summer,0,1,0,3
SWE,1952,Summer,23,24,23,210
ROU,1952,Summer,2,1,1,10
TUR,1952,Summer,1,0,2,11
ARG,1952,Summer,2,2,2,18
URU,1952,Summer,14,0,0,14
GHA,1952,Summer,0,0,0,0
DEN,1952,Summer,5,1,3,23
HUN,1952,Summer,32,17,53,348
CAN,1952,Summer,0,3,1,14
POL,1952,Summer,1,2,1,12
GER,1952,Summer,26,14,0,68
BRA,1952,Summer,2,0,1,7
USA,1952,Summer,28,23,83,512
CHI,1952,Summer,0,4,0,12
IRI,1952,Summer,4,3,0,13
AUS,1952,Summer,11,2,7,52
ITA,1952,Summer,15,22,17,166
CUB,1952,Summer,0,0,0,0
NGR,1952,Summer,0,0,0,0
AUT,1952,Summer,2,1,0,5
NED,1952,Summer,0,18,0,54
SUI,1952,Summer,12,19,2,79
BAH,1952,Summer,0,0,0,0
URS,1952,Summer,19,62,36,385
BEL,1952,Summer,0,3,5,34
GBR,1952,Summer,26,2,3,47
MEX,1952,Summer,0,1,0,3
POR,1952,Summer,2,0,0,2
VEN,1952,Summer,1,0,0,1
ISR,1952,Summer,0,0,0,0
RSA,1952,Summer,4,8,2,38
LUX,1952,Summer,0,0,1,5
BUL,1952,Summer,1,0,0,1
PUR,1952,Summer,0,0,0,0
SAA,1952,Summer,0,0,0,0
IND,1952,Summer,1,0,14,71
JPN,1952,Summer,2,9,1,34
GRE,1952,Summer,0,0,0,0
NZL,1952,Summer,2,0,1,7
PHI,1952,Summer,0,0,0,0
TCH,1952,Summer,10,4,11,77
YUG,1952,Summer,0,20,4,80
BER,1952,Summer,0,0,0,0
GUA,1952,Summer,0,0,0,0
SGP,1952,Summer,0,0,0,0
ISL,1952,Summer,0,0,0,0
AHO,1952,Summer,0,0,0,0
IRL,1952,Summer,0,1,0,3
VNM,1952,Summer,0,0,0,0
PAN,1952,Summer,0,0,0,0
HKG,1952,Summer,0,0,0,0
KOR,1952,Summer,2,0,0,2
SRI,1952,Summer,0,0,0,0
JAM,1952,Summer,0,3,5,34
LIE,1952,Summer,0,0,0,0
LIB,1952,Summer,1,1,0,4
TTO,1952,Summer,2,0,0,2
THA,1952,Summer,0,0,0,0
MYA,1952,Summer,0,0,0,0
GUY,1952,Summer,0,0,0,0
INA,1952,Summer,0,0,0,0
CHN,1952,Summer,0,0,0,0
NOR,1956,Summer,2,0,1,7
FRA,1956,Summer,13,13,7,87
BUL,1956,Summer,14,3,1,28
RSA,1956,Summer,7,0,0,7
AFG,1956,Summer,0,0,0,0
NZL,1956,Summer,0,0,3,15
BEL,1956,Summer,0,2,0,6
AUS,1956,Summer,26,13,28,205
PHI,1956,Summer,0,0,0,0
URS,1956,Summer,55,46,68,533
TTO,1956,Summer,0,0,0,0
SWE,1956,Summer,6,14,14,118
IND,1956,Summer,0,0,17,85
ARG,1956,Summer,1,1,0,4
MEX,1956,Summer,1,0,1,6
JPN,1956,Summer,5,15,4,70
THA,1956,Summer,0,0,0,0
NGR,1956,Summer,0,0,0,0
TUR,1956,Summer,2,2,3,23
BAH,1956,Summer,2,0,0,2
BRA,1956,Summer,0,0,1,5
MAL,1956,Summer,0,0,0,0
GBR,1956,Summer,22,16,8,110
USA,1956,Summer,20,42,61,451
ITA,1956,Summer,10,11,26,173
DEN,1956,Summer,1,4,1,18
KOR,1956,Summer,1,1,0,4
ROU,1956,Summer,10,3,6,49
KEN,1956,Summer,0,0,0,0
TCH,1956,Summer,1,5,1,21
FIN,1956,Summer,22,1,3,40
COL,1956,Summer,0,0,0,0
CUB,1956,Summer,0,0,0,0
CHI,1956,Summer,2,2,0,8
INA,1956,Summer,0,0,0,0
CAN,1956,Summer,5,9,5,57
PAK,1956,Summer,0,14,0,42
HUN,1956,Summer,14,20,30,224
MYA,1956,Summer,0,0,0,0
POR,1956,Summer,0,0,0,0
IRI,1956,Summer,1,2,2,17
ETH,1956,Summer,0,0,0,0
PER,1956,Summer,0,0,0,0
GER,1956,Summer,23,20,9,128
POL,1956,Summer,9,9,1,41
IRL,1956,Summer,3,1,1,11
LUX,1956,Summer,0,0,0,0
FIJ,1956,Summer,0,0,0,0
VEN,1956,Summer,0,0,0,0
NBO,1956,Summer,0,0,0,0
URU,1956,Summer,12,0,0,12
GRE,1956,Summer,1,0,0,1
AUT,1956,Summer,4,0,0,4
SUI,1956,Summer,3,0,0,3
SGP,1956,Summer,0,0,0,0
TPE,1956,Summer,0,0,0,0
HKG,1956,Summer,0,0,0,0
PUR,1956,Summer,0,0,0,0
ESP,1956,Summer,0,0,0,0
EGY,1956,Summer,0,0,0,0
JAM,1956,Summer,0,0,0,0
SRI,1956,Summer,0,0,0,0
UGA,1956,Summer,0,0,0,0
BER,1956,Summer,0,0,0,0
CAM,1956,Summer,0,0,0,0
GUY,1956,Summer,0,0,0,0
ISL,1956,Summer,0,1,0,3
YUG,1956,Summer,0,23,0,69
LBR,1956,Summer,0,0,0,0
ISR,1956,Summer,0,0,0,0
VNM,1956,Summer,0,0,0,0
NED,1956,Summer,0,0,0,0
NOR,1960,Summer,0,0,2,10
BUL,1960,Summer,3,3,1,17
UAR,1960,Summer,1,1,0,4
SUD,1960,Summer,0,0,0,0
IRQ,1960,Summer,1,0,0,1
PAK,1960,Summer,1,0,13,66
JPN,1960,Summer,12,10,9,87
ISR,1960,Summer,0,0,0,0
SWE,1960,Summer,3,2,2,19
URS,1960,Summer,45,63,61,539
NZL,1960,Summer,1,0,2,11
CHI,1960,Summer,0,0,0,0
PHI,1960,Summer,0,0,0,0
BEL,1960,Summer,2,2,0,8
ARG,1960,Summer,1,3,0,10
MEX,1960,Summer,1,0,0,1
CAN,1960,Summer,0,9,0,27
AUS,1960,Summer,11,24,11,138
FRA,1960,Summer,6,6,0,24
GBR,1960,Summer,15,11,2,58
GHA,1960,Summer,0,1,0,3
GER,1960,Summer,22,33,34,291
ETH,1960,Summer,0,0,1,5
MAR,1960,Summer,0,1,0,3
UGA,1960,Summer,0,0,0,0
AHO,1960,Summer,0,0,0,0
KEN,1960,Summer,0,0,0,0
URU,1960,Summer,0,0,0,0
CUB,1960,Summer,0,0,0,0
FIN,1960,Summer,4,1,1,12
TUR,1960,Summer,0,2,7,41
NGR,1960,Summer,0,0,0,0
TUN,1960,Summer,0,0,0,0
ESP,1960,Summer,14,0,0,14
HUN,1960,Summer,37,16,13,150
PER,1960,Summer,0,0,0,0
SUI,1960,Summer,6,6,0,24
POR,1960,Summer,0,2,0,6
BAH,1960,Summer,0,0,0,0
ITA,1960,Summer,34,18,36,268
NED,1960,Summer,2,1,0,5
BRA,1960,Summer,13,0,0,13
MAL,1960,Summer,0,0,0,0
IRI,1960,Summer,3,1,0,6
USA,1960,Summer,21,23,81,495
POL,1960,Summer,15,11,4,68
VEN,1960,Summer,1,0,0,1
LIB,1960,Summer,0,0,0,0
KOR,1960,Summer,0,0,0,0
ROU,1960,Summer,11,1,3,29
DEN,1960,Summer,4,17,2,65
COL,1960,Summer,0,0,0,0
LUX,1960,Summer,0,0,0,0
YUG,1960,Summer,0,1,16,83
GRE,1960,Summer,0,0,3,15
GUY,1960,Summer,0,0,0,0
THA,1960,Summer,0,0,0,0
IRL,1960,Summer,0,0,0,0
RSA,1960,Summer,2,1,0,5
AUT,1960,Summer,0,2,1,11
RHO,1960,Summer,0,0,0,0
PUR,1960,Summer,0,0,0,0
IND,1960,Summer,0,13,0,39
MON,1960,Summer,0,0,0,0
TCH,1960,Summer,11,7,4,52
WIF,1960,Summer,5,0,0,5
INA,1960,Summer,0,0,0,0
MLT,1960,Summer,0,0,0,0
LIE,1960,Summer,0,0,0,0
PAN,1960,Summer,0,0,0,0
SMR,1960,Summer,0,0,0,0
TPE,1960,Summer,0,1,0,3
HKG,1960,Summer,0,0,0,0
MYA,1960,Summer,0,0,0,0
SGP,1960,Summer,0,1,0,3
SRI,1960,Summer,0,0,0,0
ZIM,1960,Summer,0,0,0,0
BER,1960,Summer,0,0,0,0
AFG,1960,Summer,0,0,0,0
ISL,1960,Summer,0,0,0,0
LBR,1960,Summer,0,0,0,0
HAI,1960,Summer,0,0,0,0
FIJ,1960,Summer,0,0,0,0
VNM,1960,Summer,0,0,0,0
URS,1964,Summer,51,63,60,540
IRQ,1964,Summer,0,0,0,0
EGY,1964,Summer,0,0,0,0
TAN,1964,Summer,0,0,0,0
ARG,1964,Summer,0,1,0,3
SWE,1964,Summer,8,4,3,35
AUS,1964,Summer,30,6,8,88
PER,1964,Summer,0,0,0,0
JPN,1964,Summer,25,5,32,200
GHA,1964,Summer,1,0,0,1
CIV,1964,Summer,0,0,0,0
BUL,1964,Summer,2,5,3,32
GBR,1964,Summer,5,19,4,82
BRA,1964,Summer,12,0,0,12
GER,1964,Summer,50,44,22,292
MAR,1964,Summer,0,0,0,0
PUR,1964,Summer,0,0,0,0
PAK,1964,Summer,0,16,0,48
KEN,1964,Summer,1,0,0,1
IRI,1964,Summer,2,0,0,2
ITA,1964,Summer,9,28,14,163
HUN,1964,Summer,7,7,42,238
ESP,1964,Summer,0,0,0,0
MEX,1964,Summer,1,0,0,1
NGR,1964,Summer,1,0,0,1
NOR,1964,Summer,0,0,0,0
AUT,1964,Summer,0,0,0,0
FRA,1964,Summer,17,13,1,61
TUR,1964,Summer,1,3,2,20
IND,1964,Summer,0,0,15,75
MAS,1964,Summer,0,0,0,0
FIN,1964,Summer,2,0,3,17
SUI,1964,Summer,1,4,1,18
POR,1964,Summer,0,0,0,0
CAN,1964,Summer,1,2,2,17
ETH,1964,Summer,0,0,1,5
PHI,1964,Summer,0,1,0,3
USA,1964,Summer,37,37,95,623
BEL,1964,Summer,1,0,2,11
URU,1964,Summer,1,0,0,1
NED,1964,Summer,16,10,5,71
UGA,1964,Summer,0,0,0,0
KOR,1964,Summer,1,2,0,7
CAM,1964,Summer,0,0,0,0
DEN,1964,Summer,4,1,7,42
IRL,1964,Summer,1,0,0,1
ROU,1964,Summer,10,4,2,32
TCH,1964,Summer,12,37,5,148
POL,1964,Summer,23,13,10,112
LUX,1964,Summer,0,0,0,0
NZL,1964,Summer,2,0,4,22
AFG,1964,Summer,0,0,0,0
LIB,1964,Summer,0,0,0,0
COL,1964,Summer,0,0,0,0
THA,1964,Summer,0,0,0,0
ISR,1964,Summer,0,0,0,0
CUB,1964,Summer,0,1,0,3
TUN,1964,Summer,1,1,0,4
ZAM,1964,Summer,0,0,0,0
TTO,1964,Summer,5,1,0,8
YUG,1964,Summer,2,11,2,45
MGL,1964,Summer,0,0,0,0
ZIM,1964,Summer,0,0,0,0
CRC,1964,Summer,0,0,0,0
MON,1964,Summer,0,0,0,0
MYA,1964,Summer,0,0,0,0
AHO,1964,Summer,0,0,0,0
VEN,1964,Summer,0,0,0,0
JAM,1964,Summer,0,0,0,0
LIE,1964,Summer,0,0,0,0
SRI,1964,Summer,0,0,0,0
MLI,1964,Summer,0,0,0,0
PAN,1964,Summer,0,0,0,0
HKG,1964,Summer,0,0,0,0
TPE,1964,Summer,0,0,0,0
BAH,1964,Summer,0,0,2,10
BER,1964,Summer,0,0,0,0
NIG,1964,Summer,0,0,0,0
SEN,1964,Summer,0,0,0,0
GUY,1964,Summer,0,0,0,0
CGO,1964,Summer,0,0,0,0
GRE,1964,Summer,0,0,0,0
CHI,1964,Summer,0,0,0,0
ISL,1964,Summer,0,0,0,0
NEP,1964,Summer,0,0,0,0
VNM,1964,Summer,0,0,0,0
CHA,1964,Summer,0,0,0,0
BOL,1964,Summer,0,0,0,0
LBR,1964,Summer,0,0,0,0
ALG,1964,Summer,0,0,0,0
CMR,1964,Summer,0,0,0,0
MAD,1964,Summer,0,0,0,0
DOM,1964,Summer,0,0,0,0
NOR,1968,Summer,0,2,4,26
CMR,1968,Summer,0,1,0,3
MEX,1968,Summer,3,3,3,27
SUD,1968,Summer,0,0,0,0
MAS,1968,Summer,0,0,0,0
NGR,1968,Summer,0,0,0,0
PHI,1968,Summer,0,0,0,0
JPN,1968,Summer,22,25,16,177
ARG,1968,Summer,2,0,0,2
LIB,1968,Summer,0,0,0,0
EGY,1968,Summer,0,0,0,0
FRA,1968,Summer,10,5,12,85
POR,1968,Summer,0,0,0,0
PER,1968,Summer,0,0,0,0
TUR,1968,Summer,0,0,2,10
ESA,1968,Summer,0,0,0,0
GBR,1968,Summer,5,5,9,65
